event_name,method,n_actions,expected_detection,binary_covered_mass,redundancy_mass,total_cost,welfare,n_telescopes_used,n_unique_tiles
GW170817,proposed_potential_game,9,0.12127741084725453,0.708058250693457,0.4489682252440136,0.01925,0.10202741084725453,3,5
GW170817,centralized_greedy,9,0.12029054952871333,0.7228624027440491,0.27812227450248805,0.01925,0.10104054952871333,3,6
GW170817,independent_greedy,9,0.12057967138809852,0.7228624027440491,0.34078204333159456,0.01925,0.10132967138809852,3,6
GW170817,random_feasible,9,0.09484780601367024,0.62081522894593,0.2156016076967204,0.01925,0.07559780601367024,3,5
GW190814,proposed_potential_game,12,0.6540729364459276,0.9342535693372007,0.8612785034852929,0.025,0.6290729364459275,4,7
GW190814,centralized_greedy,12,0.6629374297157008,0.921806257179343,0.8598997703692591,0.025,0.6379374297157008,4,6
GW190814,independent_greedy,12,0.6418468316202476,0.8742346370490295,0.8612785034852929,0.025,0.6168468316202476,4,6
GW190814,random_feasible,12,0.6249445588998548,0.935519277505386,0.8645647786262022,0.025,0.5999445588998548,4,8
